item,swapped,type,name1,name2,preamble,continuation_id,continuation_class,continuation_type,continuation
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",1,lexical overlap,vp1,Which restaurant was it?
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",1,lexical overlap,vp1,Which restaurant was it?
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",2,lexical overlap,vp1,I didn't know the governor likes Greek food.
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",2,lexical overlap,vp1,I didn't know the governor likes Greek food.
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",3,lexical overlap,vp1,Where was the restaurant located?
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",3,lexical overlap,vp1,Where was the restaurant located?
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",4,lexical overlap,vp1,"Was it only the governor, or were there other people as well?"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",4,lexical overlap,vp1,"Was it only the governor, or were there other people as well?"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",5,lexical overlap,vp1,Is any of them Greek?
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",5,lexical overlap,vp1,Is any of them Greek?
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",6,situational inference,vp1,Did they take a picture together?
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",6,situational inference,vp1,Did they take a picture together?
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",7,situational inference,vp1,I wonder if they talked about educational policies.
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",7,situational inference,vp1,I wonder if they talked about educational policies.
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",8,situational inference,vp1,I thought the two were incompatible.
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",8,situational inference,vp1,I thought the two were incompatible.
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",9,situational inference,vp1,I can see that the election season is coming up.
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",9,situational inference,vp1,I can see that the election season is coming up.
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",10,situational inference,vp1,Do you know if it was a coincidence?
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",10,situational inference,vp1,Do you know if it was a coincidence?
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",11,event association,vp1,When did the meeting happen?
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",11,event association,vp1,When did the meeting happen?
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",12,event association,vp1,Why did they meet up in the first place?
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",12,event association,vp1,Why did they meet up in the first place?
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",13,event association,vp1,How did the meeting go?
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",13,event association,vp1,How did the meeting go?
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",14,event association,vp1,Remind me what kind of meeting this was.
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",14,event association,vp1,Remind me what kind of meeting this was.
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",15,event association,vp1,"That's cool, imagine bumping into a public figure!"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",15,event association,vp1,"That's cool, imagine bumping into a public figure!"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",1,lexical overlap,vp2,That kind of humor help us survive in this rough world.
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",1,lexical overlap,vp2,That kind of humor help us survive in this rough world.
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",2,lexical overlap,vp2,Do you like humorous people?
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",2,lexical overlap,vp2,Do you like humorous people?
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",3,lexical overlap,vp2,"Haha, to be fair, doesn't he find humor in any situations?"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",3,lexical overlap,vp2,"Haha, to be fair, doesn't he find humor in any situations?"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",4,lexical overlap,vp2,"Humor is difficult to find when you're down, that's quite impressive."
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",4,lexical overlap,vp2,"Humor is difficult to find when you're down, that's quite impressive."
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",5,lexical overlap,vp2,He must have lots of humorous friends.
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",5,lexical overlap,vp2,He must have lots of humorous friends.
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",6,situational inference,vp2,No wonder why people like to be around that teacher!
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",6,situational inference,vp2,No wonder why people like to be around that teacher!
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",7,situational inference,vp2,Do you know if spending lots of time with students would have helped?
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",7,situational inference,vp2,Do you know if spending lots of time with students would have helped?
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",8,situational inference,vp2,I bet that makes the classroom environment much better!
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",8,situational inference,vp2,I bet that makes the classroom environment much better!
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",9,situational inference,vp2,Do you think that kind of personality just comes naturally?
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",9,situational inference,vp2,Do you think that kind of personality just comes naturally?
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",10,situational inference,vp2,How do you think he keeps that attitude?
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",10,situational inference,vp2,How do you think he keeps that attitude?
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",11,event association,vp2,That's a really good attitude to keep.
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",11,event association,vp2,That's a really good attitude to keep.
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",12,event association,vp2,Do you to have that kind of positive mindset?
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",12,event association,vp2,Do you to have that kind of positive mindset?
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",13,event association,vp2,I would rather be grumpy.
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",13,event association,vp2,I would rather be grumpy.
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",14,event association,vp2,"Well, I value people expressing anger than just trying to be positive."
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",14,event association,vp2,"Well, I value people expressing anger than just trying to be positive."
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",15,event association,vp2,That's the mindset we need when there are so many crazy things happening in this world.
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",15,event association,vp2,That's the mindset we need when there are so many crazy things happening in this world.
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",1,lexical overlap,vp1,At which bank?
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",1,lexical overlap,vp1,At which bank?
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",2,lexical overlap,vp1,She opened another account?
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",2,lexical overlap,vp1,She opened another account?
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",3,lexical overlap,vp1,I don't know why people get new bank accounts.
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",3,lexical overlap,vp1,I don't know why people get new bank accounts.
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",4,lexical overlap,vp1,Why did it have to be today?
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",4,lexical overlap,vp1,Why did it have to be today?
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",5,lexical overlap,vp1,Opening a new bank accounts sounds like a lot of work.
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",5,lexical overlap,vp1,Opening a new bank accounts sounds like a lot of work.
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",6,situational inference,vp1,She was supposed to go to the City Hall for an interview!
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",6,situational inference,vp1,She was supposed to go to the City Hall for an interview!
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",7,situational inference,vp1,I believe that was part of her work writing that news article.
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",7,situational inference,vp1,I believe that was part of her work writing that news article.
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",8,situational inference,vp1,"Do you know if it was for work, or for her personal use?"
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",8,situational inference,vp1,"Do you know if it was for work, or for her personal use?"
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",9,situational inference,vp1,I hope she remembers the passcode this time.
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",9,situational inference,vp1,I hope she remembers the passcode this time.
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",10,situational inference,vp1,"No way, she doesn't even know how to unlock her phone."
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",10,situational inference,vp1,"No way, she doesn't even know how to unlock her phone."
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",11,event association,vp1,"I heard that she bought some stocks, too."
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",11,event association,vp1,"I heard that she bought some stocks, too."
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",12,event association,vp1,Do you think she's trying to save more money?
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",12,event association,vp1,Do you think she's trying to save more money?
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",13,event association,vp1,I wonder how long that process took.
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",13,event association,vp1,I wonder how long that process took.
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",14,event association,vp1,Was there a good deal on the interest rate?
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",14,event association,vp1,Was there a good deal on the interest rate?
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",15,event association,vp1,Which branch did she go to?
