idx,cont_type,cont_target,avg_logprob,model_name
1,event association,arc,-4.388014507293701,facebook_opt-350m
1,event association,mc,-4.379797410964966,facebook_opt-350m
1,lexical overlap,arc,-4.394270038604736,facebook_opt-350m
1,lexical overlap,mc,-4.315572500228882,facebook_opt-350m
1,situational inference,arc,-4.424405765533447,facebook_opt-350m
1,situational inference,mc,-4.396176147460937,facebook_opt-350m
2,event association,arc,-4.101766347885132,facebook_opt-350m
2,event association,mc,-3.8236302852630617,facebook_opt-350m
2,lexical overlap,arc,-4.132410621643066,facebook_opt-350m
2,lexical overlap,mc,-3.9374162673950197,facebook_opt-350m
2,situational inference,arc,-3.9588329792022705,facebook_opt-350m
2,situational inference,mc,-4.138615226745605,facebook_opt-350m
3,event association,arc,-3.7051196098327637,facebook_opt-350m
3,event association,mc,-3.5766181468963625,facebook_opt-350m
3,lexical overlap,arc,-3.5785154819488527,facebook_opt-350m
3,lexical overlap,mc,-3.4798141956329345,facebook_opt-350m
3,situational inference,arc,-3.7624795913696287,facebook_opt-350m
3,situational inference,mc,-3.6699391841888427,facebook_opt-350m
4,event association,arc,-4.025697326660156,facebook_opt-350m
4,event association,mc,-3.9392720222473145,facebook_opt-350m
4,lexical overlap,arc,-3.742893695831299,facebook_opt-350m
4,lexical overlap,mc,-3.54727463722229,facebook_opt-350m
4,situational inference,arc,-3.8579259872436524,facebook_opt-350m
4,situational inference,mc,-3.882143259048462,facebook_opt-350m
5,event association,arc,-4.021693849563599,facebook_opt-350m
5,event association,mc,-4.086095333099365,facebook_opt-350m
5,lexical overlap,arc,-3.8875607013702393,facebook_opt-350m
5,lexical overlap,mc,-3.7148028373718263,facebook_opt-350m
5,situational inference,arc,-3.9791705131530763,facebook_opt-350m
5,situational inference,mc,-4.023622322082519,facebook_opt-350m
6,event association,arc,-4.278430366516114,facebook_opt-350m
6,event association,mc,-3.960351848602295,facebook_opt-350m
6,lexical overlap,arc,-4.0464620113372805,facebook_opt-350m
6,lexical overlap,mc,-4.148097324371338,facebook_opt-350m
6,situational inference,arc,-4.187003469467163,facebook_opt-350m
6,situational inference,mc,-3.9949882507324217,facebook_opt-350m
7,event association,arc,-3.925420713424683,facebook_opt-350m
7,event association,mc,-3.770751142501831,facebook_opt-350m
7,lexical overlap,arc,-3.7166402339935303,facebook_opt-350m
7,lexical overlap,mc,-3.6581356048583986,facebook_opt-350m
7,situational inference,arc,-3.8593358039855956,facebook_opt-350m
7,situational inference,mc,-3.749353313446045,facebook_opt-350m
8,event association,arc,-3.76714768409729,facebook_opt-350m
8,event association,mc,-3.501511240005493,facebook_opt-350m
8,lexical overlap,arc,-3.479966402053833,facebook_opt-350m
8,lexical overlap,mc,-3.661798191070557,facebook_opt-350m
8,situational inference,arc,-3.6654404163360597,facebook_opt-350m
8,situational inference,mc,-3.7779525756835937,facebook_opt-350m
9,event association,arc,-3.932308387756348,facebook_opt-350m
9,event association,mc,-3.8305731296539305,facebook_opt-350m
9,lexical overlap,arc,-3.7016141414642334,facebook_opt-350m
9,lexical overlap,mc,-3.5684783935546873,facebook_opt-350m
9,situational inference,arc,-3.9511939525604247,facebook_opt-350m
9,situational inference,mc,-3.882614278793335,facebook_opt-350m
10,event association,arc,-3.772220993041992,facebook_opt-350m
10,event association,mc,-3.871428918838501,facebook_opt-350m
10,lexical overlap,arc,-3.7579764842987062,facebook_opt-350m
10,lexical overlap,mc,-3.7406285285949705,facebook_opt-350m
